abomasite|Abomasite
pixie_shard|Pixie Shard
plant_fibre|Plant Fibre
platinum_axe_head|Platinum Axe Head
platinum_bar|Platinum Bar
platinum_birch_axe|Platinum Birch Axe
platinum_birch_hoe|Platinum Birch Hoe
platinum_birch_pickaxe|Platinum Birch Pickaxe
platinum_birch_shovel|Platinum Birch Shovel
platinum_birch_trowel|Platinum Birch Trowel
platinum_chunk|Platinum Chunk
platinum_dust|Platinum Dust
platinum_elm_axe|Platinum Elm Axe
platinum_elm_hoe|Platinum Elm Hoe
platinum_elm_pickaxe|Platinum Elm Pickaxe
platinum_elm_shovel|Platinum Elm Shovel
platinum_elm_trowel|Platinum Elm Trowel
platinum_hoe_head|Platinum Hoe Head
platinum_juniper_axe|Platinum Juniper Axe
platinum_juniper_hoe|Platinum Juniper Hoe
platinum_juniper_pickaxe|Platinum Juniper Pickaxe
platinum_juniper_shovel|Platinum Juniper Shovel
platinum_juniper_trowel|Platinum Juniper Trowel
platinum_magnolia_axe|Platinum Magnolia Axe
platinum_magnolia_hoe|Platinum Magnolia Hoe
platinum_magnolia_pickaxe|Platinum Magnolia Pickaxe
platinum_magnolia_shovel|Platinum Magnolia Shovel
platinum_magnolia_trowel|Platinum Magnolia Trowel
platinum_oak_axe|Platinum Oak Axe
platinum_oak_hoe|Platinum Oak Hoe
platinum_oak_pickaxe|Platinum Oak Pickaxe
platinum_oak_shovel|Platinum Oak Shovel
platinum_oak_trowel|Platinum Oak Trowel
platinum_pickaxe_head|Platinum Pickaxe Head
platinum_rowan_axe|Platinum Rowan Axe
platinum_rowan_hoe|Platinum Rowan Hoe
platinum_rowan_pickaxe|Platinum Rowan Pickaxe
platinum_rowan_shovel|Platinum Rowan Shovel
platinum_rowan_trowel|Platinum Rowan Trowel
platinum_shears|Platinum Shears
platinum_shovel_head|Platinum Shovel Head
platinum_sycamore_axe|Platinum Sycamore Axe
platinum_sycamore_hoe|Platinum Sycamore Hoe
platinum_sycamore_pickaxe|Platinum Sycamore Pickaxe
platinum_sycamore_shovel|Platinum Sycamore Shovel
platinum_sycamore_trowel|Platinum Sycamore Trowel
platinum_trowel_head|Platinum Trowel Head
poison_barb|Poison Barb
poison_gem|Poison Gem
poison_memory|Poison Memory
poison_vial|Poison Vial
poisonium_z|Poisonium Z
pokepoppet|PokePoppet
poke_ball|Poké Ball
poke_doll|Poké Doll
pomeg_berry|Pomeg Berry
potion|Potion
power_ball|Power Ball
power_herb|Power Herb
power_shard|Power Shard
premier_ball|Premier Ball
primarium_z|Primarium Z
prism_scale|Prism Scale
protective_pads|Protective Pads
protector|Protector
protein|Protein
psychic_gem|Psychic Gem
psychic_memory|Psychic Memory
psychic_seed|Psychic Seed
psychium_z|Psychium Z
pure_incense|Pure Incense
purple_apricorn|Purple Apricorn
purple_nectar|Purple Nectar
purple_paint|Purple Paint
purple_status_powder|Purple Status Powder
qualot_berry|Qualot Berry
quick_ball|Quick Ball
quick_claw|Quick Claw
quick_powder|Quick Powder
raft|Raft
rainbow_paint|Rainbow Paint
ranger_hat|Ranger Hat
ranger_pants|Ranger Pants
ranger_vest|Ranger Vest
rare_bird_nest|Rare Bird Nest
rare_candy|Rare Candy
rare_clue_scroll|Rare Clue Scroll
rare_geode|Rare Geode
rawst_berry|Rawst Berry
rawst_ointment|Rawst Ointment
razor_claw|Razor Claw
razor_fang|Razor Fang
reaper_cloth|Reaper Cloth
red_card|Red Card
red_flute|Red Flute
red_nectar|Red Nectar
red_paint|Red Paint
refined_tumblestone|Refined Tumblestone
remedy|Remedy
repeat_ball|Repeat Ball
repel|Repel
restore_tonic|Restore Tonic
revival_herb|Revival Herb
revive|Revive
ribbon|Ribbon
ribbon_skirt_blue|Ribbon Skirt (Blue)
ribbon_skirt_green|Ribbon Skirt (Green)
ribbon_skirt_pink|Ribbon Skirt (Pink)
ribbon_skirt_red|Ribbon Skirt (Red)
ribbon_skirt_wine|Ribbon Skirt (Wine)
rindo_berry|Rindo Berry
ring_target|Ring Target
rock_gem|Rock Gem
rock_incense|Rock Incense
rock_memory|Rock Memory
rockium_z|Rockium Z
rocky_helmet|Rocky Helmet
rose_incense|Rose Incense
roseli_berry|Roseli Berry
rowan_log|Rowan Log
rowan_plank|Rowan Plank
rowan_shovel_handle|Rowan Shovel Handle
rowan_tool_handle|Rowan Tool Handle
rowan_trowel_handle|Rowan Trowel Handle
rowap_berry|Rowap Berry
rubber_boots|Rubber Boots
rusty_axe|Rusty Axe
rusty_hoe|Rusty Hoe
rusty_pickaxe|Rusty Pickaxe
rusty_shovel|Rusty Shovel
rusty_trowel|Rusty Trowel
sablenite|Sablenite
sachet|Sachet
sacred_ash|Sacred Ash
safari_ball|Safari Ball
safety_goggles|Safety Goggles
salac_berry|Salac Berry
salamencite|Salamencite
sand|Sand
scale_ball|Scale Ball
scarf_layered_top_black|Scarf Layered Top (Black)
scarf_layered_top_blue|Scarf Layered Top (Blue)
scarf_layered_top_brown|Scarf Layered Top (Brown)
scarf_layered_top_red|Scarf Layered Top (Red)
scarf_layered_top_yellow|Scarf Layered Top (Yellow)
scarf_shirt_black|Scarf Shirt (Black)
scarf_shirt_blue|Scarf Shirt (Blue)
scarf_shirt_brown|Scarf Shirt (Brown)
scarf_shirt_red|Scarf Shirt (Red)
scarf_shirt_yellow|Scarf Shirt (Yellow)
scarf_top_black|Scarf Top (Black)
scarf_top_blue|Scarf Top (Blue)
scarf_top_green|Scarf Top (Green)
scarf_top_red|Scarf Top (Red)
scarf_top_yellow|Scarf Top (Yellow)
sceptilite|Sceptilite
school_uniform_dark|School Uniform (Dark)
school_uniform_light|School Uniform (Light)
school_uniform_bottom_dark|School Uniform Bottom (Dark)
school_uniform_bottom_light|School Uniform Bottom (Light)
schoolgirl_skirt_dark|Schoolgirl Skirt (Dark)
schoolgirl_skirt_light|Schoolgirl Skirt (Light)
scizorite|Scizorite
scope_lens|Scope Lens
sea_incense|Sea Incense
shade_ball|Shade Ball
sharp_beak|Sharp Beak
sharpedonite|Sharpedonite
shed_shell|Shed Shell
shell_bell|Shell Bell
shiny_bird_hat|Shiny Bird Hat
shiny_stone|Shiny Stone
shirt_black|Shirt (Black)
shirt_blue|Shirt (Blue)
shirt_green|Shirt (Green)
shirt_red|Shirt (Red)
shirt_white|Shirt (White)
shirt_combo_black|Shirt Combo (Black)
shirt_combo_blue|Shirt Combo (Blue)
shirt_combo_red|Shirt Combo (Red)
shirt_combo_white|Shirt Combo (White)
shirt_combo_wine|Shirt Combo (Wine)
shock_drive|Shock Drive
shorts_black|Shorts (Black)
shorts_blue|Shorts (Blue)
shorts_green|Shorts (Green)
shorts_red|Shorts (Red)
shorts_white|Shorts (White)
shuca_berry|Shuca Berry
silk|Silk
silk_scarf|Silk Scarf
silph_chip|Silph Chip
silver_apricorn|Silver Apricorn
silver_bar|Silver Bar
silver_chunk|Silver Chunk
silver_paint|Silver Paint
silver_powder|Silver Powder
silver_status_powder|Silver Status Powder
sitrus_berry|Sitrus Berry
sky_plate|Sky Plate
sky_shard|Sky Shard
sleep_vial|Sleep Vial
slowbronite|Slowbronite
smoke_ball|Smoke Ball
smooth_rock|Smooth Rock
snorlium_z|Snorlium Z
snowball|Snowball
soda_pop|Soda Pop
soft_sand|Soft Sand
soiled_apricorn|Soiled Apricorn
solid_shard|Solid Shard
sootfoot_root|Sootfoot Root
soothe_bell|Soothe Bell
soul_dew|Soul Dew
sour_bait|Sour Bait
spell_tag|Spell Tag
spicy_bait|Spicy Bait
spirit_shard|Spirit Shard
splash_plate|Splash Plate
spooky_plate|Spooky Plate
starf_berry|Starf Berry
steel_axe_head|Steel Axe Head
steel_bar|Steel Bar
steel_birch_axe|Steel Birch Axe
steel_birch_hoe|Steel Birch Hoe
steel_birch_pickaxe|Steel Birch Pickaxe
steel_birch_shovel|Steel Birch Shovel
steel_birch_trowel|Steel Birch Trowel
steel_elm_axe|Steel Elm Axe
steel_elm_hoe|Steel Elm Hoe
steel_elm_shovel|Steel Elm Shovel
steel_elm_trowel|Steel Elm Trowel
steel_gem|Steel Gem
steel_hoe_head|Steel Hoe Head
steel_juniper_axe|Steel Juniper Axe
steel_juniper_hoe|Steel Juniper Hoe
steel_juniper_pickaxe|Steel Juniper Pickaxe
steel_juniper_shovel|Steel Juniper Shovel
steel_juniper_trowel|Steel Juniper Trowel
steel_magnolia_axe|Steel Magnolia Axe
steel_magnolia_hoe|Steel Magnolia Hoe
steel_magnolia_pickaxe|Steel Magnolia Pickaxe
steel_magnolia_shovel|Steel Magnolia Shovel
steel_magnolia_trowel|Steel Magnolia Trowel
steel_memory|Steel Memory
steel_nails|Steel Nails
steel_oak_axe|Steel Oak Axe
steel_oak_hoe|Steel Oak Hoe
steel_oak_pickaxe|Steel Oak Pickaxe
steel_oak_shovel|Steel Oak Shovel
steel_oak_trowel|Steel Oak Trowel
steel_pickaxe_head|Steel Pickaxe Head
steel_rowan_axe|Steel Rowan Axe
steel_rowan_hoe|Steel Rowan Hoe
steel_rowan_pickaxe|Steel Rowan Pickaxe
steel_rowan_shovel|Steel Rowan Shovel
steel_rowan_trowel|Steel Rowan Trowel
steel_screw|Steel Screw
steel_shears|Steel Shears
steel_shovel_head|Steel Shovel Head
steel_sycamore_axe|Steel Sycamore Axe
steel_sycamore_hoe|Steel Sycamore Hoe
steel_sycamore_pickaxe|Steel Sycamore Pickaxe
steel_sycamore_shovel|Steel Sycamore Shovel
steel_sycamore_trowel|Steel Sycamore Trowel
steel_trowel_head|Steel Trowel Head
steel_wire|Steel Wire
steelium_z|Steelium Z
steelixite|Steelixite
sticky_barb|Sticky Barb
stone|Stone
stone_ball|Stone Ball
stone_plate|Stone Plate
stone_shard|Stone Shard
straw_hat|Straw Hat
strong_twine|Strong Twine
stun_baton_v1|Stun Baton v1
stun_baton_v2|Stun Baton v2
stun_baton_v3|Stun Baton v3
stun_battery_v1|Stun Battery v1
stun_battery_v2|Stun Battery v2
stun_battery_v3|Stun Battery v3
stun_vial|Stun Vial
summer_hat|Summer Hat
summer_pants_black|Summer Pants (Black)
summer_pants_blue|Summer Pants (Blue)
summer_pants_green|Summer Pants (Green)
summer_pants_pink|Summer Pants (Pink)
summer_pants_purple|Summer Pants (Purple)
summer_pants_red|Summer Pants (Red)
summer_pants_white|Summer Pants (White)
summer_pants_yellow|Summer Pants (Yellow)
summer_top_black|Summer Top (Black)
summer_top_blue|Summer Top (Blue)
summer_top_green|Summer Top (Green)
summer_top_navy|Summer Top (Navy)
summer_top_pink|Summer Top (Pink)
summer_top_purple|Summer Top (Purple)
summer_top_red|Summer Top (Red)
summer_top_yellow|Summer Top (Yellow)
summer_top_v2|Summer Top V2
summer_top_v3|Summer Top V3
sun_hat|Sun Hat
sun_stone|Sun Stone
super_potion|Super Potion
super_repel|Super Repel
super_tonic|Super Tonic
superb_remedy|Superb Remedy
swampertite|Swampertite
swarm_ball|Swarm Ball
sweet_bait|Sweet Bait
sweet_slime|Sweet Slime
swordcap|Swordcap
sycamore_log|Sycamore Log
sycamore_plank|Sycamore Plank
sycamore_shovel_handle|Sycamore Shovel Handle
sycamore_tool_handle|Sycamore Tool Handle
sycamore_trowel_handle|Sycamore Trowel Handle
tm01|TM01
tm02|TM02
tm03|TM03
tm04|TM04
tm05|TM05
tm06|TM06
tm07|TM07
tm08|TM08
tm09|TM09
tm10|TM10
tm100|TM100
tm11|TM11
tm12|TM12
tm13|TM13
tm14|TM14
tm15|TM15
tm16|TM16
tm17|TM17
tm18|TM18
tm19|TM19
tm20|TM20
tm21|TM21
tm22|TM22
tm23|TM23
tm24|TM24
tm25|TM25
tm26|TM26
tm27|TM27
tm28|TM28
tm29|TM29
tm30|TM30
tm31|TM31
tm32|TM32
tm33|TM33
tm34|TM34
tm35|TM35
tm36|TM36
tm37|TM37
tm38|TM38
tm39|TM39
tm40|TM40
tm41|TM41
tm42|TM42
tm43|TM43
tm44|TM44
tm45|TM45
tm46|TM46
tm47|TM47
tm48|TM48
tm49|TM49
tm50|TM50
tm51|TM51
tm52|TM52
tm53|TM53
tm54|TM54
tm55|TM55
tm56|TM56
tm57|TM57
tm58|TM58
tm59|TM59
tm60|TM60
tm61|TM61
tm62|TM62
tm63|TM63
tm64|TM64
tm65|TM65
tm66|TM66
tm67|TM67
tm68|TM68
tm69|TM69
tm70|TM70
tm71|TM71
tm72|TM72
tm73|TM73
tm74|TM74
tm75|TM75
tm76|TM76
tm77|TM77
tm78|TM78
tm79|TM79
tm80|TM80
tm81|TM81
tm82|TM82
tm83|TM83
tm84|TM84
tm85|TM85
tm86|TM86
tm87|TM87
tm88|TM88
tm89|TM89
tm90|TM90
tm91|TM91
tm92|TM92
tm93|TM93
tm94|TM94
tm95|TM95
tm96|TM96
tm97|TM97
tm98|TM98
tm99|TM99
tamato_berry|Tamato Berry
tanga_berry|Tanga Berry
tank_top_black|Tank Top (Black)
tank_top_blue|Tank Top (Blue)
tank_top_green|Tank Top (Green)
tank_top_pink|Tank Top (Pink)
tank_top_red|Tank Top (Red)
tapunium_z|Tapunium Z
tater_hat|Tater Hat
tea_mafia_pants_beige|Tea Mafia Pants (Beige)
tea_mafia_pants_purple|Tea Mafia Pants (Purple)
tea_mafia_suit_beige|Tea Mafia Suit (Beige)
tea_mafia_suit_purple|Tea Mafia Suit (Purple)
terrain_extender|Terrain Extender
thick_club|Thick Club
thunder_stone|Thunder Stone
tidal_ball|Tidal Ball
timer_ball|Timer Ball
tin_bar|Tin Bar
tin_chunk|Tin Chunk
tonic|Tonic
toxic_orb|Toxic Orb
toxic_plate|Toxic Plate
toxic_shard|Toxic Shard
trap_lure|Trap Lure
trench_coat_beige|Trench Coat (Beige)
trench_coat_black|Trench Coat (Black)
trench_coat_collar_beige|Trench Coat (Collar) (Beige)
trench_coat_collar_black|Trench Coat (Collar) (Black)
trench_coat_collar_navy|Trench Coat (Collar) (Navy)
trench_coat_collar_purple|Trench Coat (Collar) (Purple)
trench_coat_collar_red|Trench Coat (Collar) (Red)
trench_coat_navy|Trench Coat (Navy)
trench_coat_purple|Trench Coat (Purple)
trench_coat_red|Trench Coat (Red)
tumblestone|Tumblestone
turtleneck_beige|Turtleneck (Beige)
turtleneck_black|Turtleneck (Black)
turtleneck_green|Turtleneck (Green)
turtleneck_white|Turtleneck (White)
turtleneck_wine|Turtleneck (Wine)
twine|Twine
twisted_spoon|Twisted Spoon
tyranitarite|Tyranitarite
ultra_ball|Ultra Ball
uncommon_bird_nest|Uncommon Bird Nest
uncommon_clue_scroll|Uncommon Clue Scroll
uncommon_geode|Uncommon Geode
upgrade|Upgrade
venom_ball|Venom Ball
venusaurite|Venusaurite
vest_beige|Vest (Beige)
vest_black|Vest (Black)
vest_blue|Vest (Blue)
vest_grey|Vest (Grey)
vest_wine|Vest (Wine)
vivichoke|Vivichoke
wacan_berry|Wacan Berry
water_gem|Water Gem
water_memory|Water Memory
water_stone|Water Stone
waterium_z|Waterium Z
wave_incense|Wave Incense
weakness_policy|Weakness Policy
whipped_dream|Whipped Dream
white_herb|White Herb
white_paint|White Paint
wide_lens|Wide Lens
wiki_berry|Wiki Berry
wild_herb|Wild Herb
wildflower|Wildflower
wing_ball|Wing Ball
wise_glasses|Wise Glasses
x_accuracy|X Accuracy
x_attack|X Attack
x_defense|X Defense
x_sp_atk|X Sp. Atk
x_sp_def|X Sp. Def
x_speed|X Speed
yache_berry|Yache Berry
yellow_flute|Yellow Flute
yellow_nectar|Yellow Nectar
yellow_paint|Yellow Paint
yellow_status_powder|Yellow Status Powder
youngster_cap_blue|Youngster Cap (Blue)
youngster_cap_yellow|Youngster Cap (Yellow)
zap_plate|Zap Plate
zap_shard|Zap Shard
zinc|Zinc
zoom_lens|Zoom Lens
